blend,pos,players,p10_mae,p90_mae,mean_mae,tail_width_ratio_median
0.0,QB,40,0.027656314373016293,0.0324475485086444,0.10876878,1.000116947502103
0.0,RB,84,0.033332341341745245,0.0626083112898326,0.16889608,1.0003996345755974
0.0,TE,36,0.02667818864186602,0.050323139296638245,0.1667889,1.0030207938764533
0.0,WR,108,0.036473985071535465,0.05220420978687458,0.13053846,1.0038714250759893
0.15,QB,40,0.04661291003227211,0.04522430837154404,0.10790781,1.0092494245169141
0.15,RB,84,0.04565119714963998,0.08038620040530275,0.16685152,1.009042212153165
0.15,TE,36,0.050721425480312665,0.08739337391323534,0.16510186,1.0165936642789304
0.15,WR,108,0.04115563929080954,0.07528602149751495,0.12823278,1.0107174312191018
0.25,QB,40,0.046839730143547045,0.044442932009697414,0.105929814,1.0053545903850705
0.25,RB,84,0.05234325868742805,0.08355710619971889,0.16357592,1.00815768071582
0.25,TE,36,0.05636030832926431,0.09857079452938525,0.16182797,1.0154389408991062
0.25,WR,108,0.045749138130081995,0.06975109444724206,0.12506133,1.007038050013902
0.3,QB,40,0.047371908724307986,0.04688189804553992,0.10450022,1.0019875809639975
0.3,RB,84,0.05832290975820448,0.08572013945806599,0.16130182,1.0062096396607179
0.3,TE,36,0.06014969812499138,0.09981774224175381,0.15950388,1.0130312494675935
0.3,WR,108,0.05386864509847432,0.06717610315040318,0.12294001,1.0025300513840303
0.35,QB,40,0.04580932140350342,0.05365305304527288,0.10275664,0.9970714771553877
0.35,RB,84,0.06213285326957693,0.09047340552012112,0.15862764,1.0022612280435164
0.35,TE,36,0.061311356226603074,0.10394255850050212,0.15670672,1.0090594876886043
0.35,WR,108,0.06055797283296233,0.06901181627202906,0.1204444,0.9989480515100068
0.4,QB,40,0.050395373702049294,0.07448058843612645,0.10068947,0.9918364628021277
0.4,RB,84,0.06999277571837098,0.10527165503728908,0.1554725,0.9975891539549961
0.4,TE,36,0.06240393982993226,0.10791945457458486,0.15340026,1.0050680178173927
0.4,WR,108,0.07149455845355991,0.0795627020023487,0.117578946,0.994818783261487
