pick_position,buffer,relevant_available_cells,max_side_leaked_cells,max_side_leak_share_relevant,max_side_leak_share_all_available,iters_with_leak_pct,x_count
1,2,1061524,5551,0.005229274137937531,0.001992802790426505,87.55,979.0
1,6,1167524,2540,0.00217554414298978,0.0009118571586530937,68.4,
1,8,1225524,1622,0.0013235154921486646,0.0005822961855650858,52.95,
2,2,1104421,7962,0.007209207358425817,0.002813009089460543,96.05,975.0
2,6,1206421,3047,0.002525652322033519,0.001076518298867907,75.5,
2,8,1274421,1876,0.0014720410288279933,0.0006627989263787966,57.6,
3,2,1122407,9148,0.008150341186396735,0.003211619687776361,98.75,966.0
3,6,1230407,3390,0.002755185885645969,0.0011901389092218914,79.85,
3,8,1288407,2141,0.0016617419806008505,0.0007516482019599025,66.4,
4,2,1165354,11121,0.00954302297842544,0.003870389795340219,99.7,979.0
4,6,1267354,4779,0.0037708485553365517,0.0016632130952190366,90.05,
4,8,1307354,2459,0.0018808983641768029,0.0008557943086720258,69.65,
5,2,1191821,12172,0.010212943051011855,0.004174467499891111,99.55,976.0
5,6,1295821,4843,0.0037373989154366226,0.0016609387201752097,90.8,
5,8,1341821,3198,0.0023833283276979565,0.0010967751449763206,80.8,
6,2,1221541,16297,0.01334134507151213,0.005551617231712996,100.0,981.0
6,6,1323541,7837,0.0059212370451689825,0.002669695296369562,97.85,
6,8,1363541,4779,0.003504845105501045,0.0016279793060291101,91.55,
7,2,1251819,19448,0.015535792315023179,0.006548547234696795,100.0,981.0
7,6,1357819,8689,0.006399232887446707,0.002925767529940377,99.2,
7,8,1393819,5396,0.0038713778474823487,0.0018169457465252933,94.3,
8,2,1289666,27082,0.020999235460964313,0.009052481125901086,100.0,985.0
8,6,1385666,11483,0.008286989794077361,0.00383832954614586,99.7,
8,8,1415666,6818,0.0048161077542301645,0.002278997722339325,95.7,
9,2,1328213,34239,0.025778244904996413,0.011329115452815536,100.0,988.0
9,6,1410213,13626,0.00966237015259397,0.004508616699087722,100.0,
9,8,1458213,8519,0.005842082055227871,0.0028187953661770364,98.85,
10,2,1334589,39551,0.029635340917690763,0.012922675994718663,100.0,973.0
10,6,1410589,17878,0.012674138250050156,0.005841359293913688,100.0,
10,8,1482589,10669,0.007196195304295392,0.003485930322562095,99.1,
11,2,1371173,48381,0.035284387892702086,0.015671619309964163,100.0,980.0
11,6,1465173,25372,0.01731672642070254,0.00821852225320706,100.0,
11,8,1519173,16878,0.011109992081217874,0.005467137734101717,100.0,
12,2,1393186,61535,0.0441685460519988,0.01974056087766338,100.0,972.0
12,6,1495186,34400,0.023007171014174824,0.011035594282792237,100.0,
12,8,1533186,24102,0.01572020615893962,0.007731973645461002,100.0,
