buffer,round,pick,relevant_available_cells,max_side_leaked_cells,share
2,2,24,80000,0,0.0
2,3,25,90000,0,0.0
2,4,48,135000,115,0.0008518518518518519
2,5,49,140000,237,0.0016928571428571429
2,6,72,170000,93,0.0005470588235294118
2,7,73,170000,93,0.0005470588235294118
2,8,96,180093,238,0.001321539426851682
2,9,97,180093,238,0.001321539426851682
2,10,120,140523,286,0.0020352540153569165
2,11,121,140523,286,0.0020352540153569165
2,12,144,159442,131,0.000821615383650481
2,13,145,164442,204,0.0012405589812821542
2,14,168,172843,499,0.0028870130696643775
2,15,169,177843,499,0.0028058456053935213
2,16,192,149604,151,0.0010093313013021042
2,17,193,149604,384,0.0025667762894040266
2,18,216,95912,2939,0.0306426724497456
2,19,217,95912,3198,0.03334306447576946
2,20,240,55453,3379,0.06093448505941969
4,2,24,95000,0,0.0
4,3,25,95000,0,0.0
4,4,48,150000,32,0.00021333333333333333
4,5,49,155000,32,0.0002064516129032258
4,6,72,185000,44,0.00023783783783783784
4,7,73,195000,93,0.00047692307692307693
4,8,96,180093,140,0.000777376133442166
4,9,97,180093,140,0.000777376133442166
4,10,120,150523,286,0.0019000418540688134
4,11,121,150523,286,0.0019000418540688134
4,12,144,164442,131,0.0007966334634704029
4,13,145,164442,131,0.0007966334634704029
4,14,168,182843,499,0.002729117330168505
4,15,169,182843,499,0.002729117330168505
4,16,192,149604,151,0.0010093313013021042
4,17,193,149604,151,0.0010093313013021042
4,18,216,95912,1518,0.015827008090749856
4,19,217,95912,2044,0.02131120193510718
4,20,240,55453,3379,0.06093448505941969
6,2,24,110000,0,0.0
6,3,25,125000,0,0.0
6,4,48,160000,0,0.0
6,5,49,160000,3,1.875e-05
6,6,72,205000,4,1.951219512195122e-05
6,7,73,210000,15,7.142857142857143e-05
6,8,96,185093,79,0.0004268124672461952
6,9,97,185093,79,0.0004268124672461952
6,10,120,155523,286,0.0018389562958533465
6,11,121,160523,286,0.001781676146097444
6,12,144,169442,73,0.00043082588732427614
6,13,145,169442,131,0.0007731259073901394
6,14,168,182843,396,0.002165792510514485
6,15,169,192843,396,0.0020534839221542913
6,16,192,149604,151,0.0010093313013021042
6,17,193,149604,151,0.0010093313013021042
6,18,216,95912,461,0.004806489281841689
6,19,217,95912,1518,0.015827008090749856
6,20,240,55453,2689,0.04849151533731268
8,2,24,135000,0,0.0
8,3,25,135000,0,0.0
8,4,48,165000,0,0.0
8,5,49,170000,0,0.0
8,6,72,220000,0,0.0
8,7,73,220000,4,1.8181818181818182e-05
8,8,96,200093,33,0.00016492331066054284
8,9,97,210093,33,0.00015707329611172195
8,10,120,160523,140,0.0008721491624253222
8,11,121,165523,242,0.001462032466787093
8,12,144,179442,17,9.473813265567704e-05
8,13,145,179442,73,0.0004068166872861426
8,14,168,192843,173,0.0008971028245775061
8,15,169,192843,252,0.0013067624959163672
8,16,192,149604,0,0.0
8,17,193,149604,0,0.0
8,18,216,95912,461,0.004806489281841689
8,19,217,95912,461,0.004806489281841689
8,20,240,55453,2350,0.04237823021297315
10,2,24,155000,0,0.0
10,3,25,155000,0,0.0
10,4,48,185000,0,0.0
10,5,49,195000,0,0.0
10,6,72,225000,0,0.0
10,7,73,225000,0,0.0
10,8,96,210093,7,3.3318577963092535e-05
10,9,97,215093,25,0.00011622879405652439
10,10,120,180523,4,2.215784138309246e-05
10,11,121,185523,4,2.1560669027559925e-05
10,12,144,189442,4,2.1114641948459157e-05
10,13,145,189442,14,7.390124681960705e-05
10,14,168,192843,103,0.0005341132423785152
10,15,169,192843,103,0.0005341132423785152
10,16,192,149604,0,0.0
10,17,193,149604,0,0.0
10,18,216,95912,105,0.001094753524063725
10,19,217,95912,363,0.003784719326048878
10,20,240,55453,1667,0.030061493517032443
12,2,24,165000,0,0.0
12,3,25,170000,0,0.0
12,4,48,200000,0,0.0
12,5,49,205000,0,0.0
12,6,72,230000,0,0.0
12,7,73,235000,0,0.0
12,8,96,215093,0,0.0
12,9,97,220093,0,0.0
12,10,120,185523,0,0.0
12,11,121,195523,0,0.0
12,12,144,189442,4,2.1114641948459157e-05
12,13,145,189442,4,2.1114641948459157e-05
12,14,168,192843,27,0.00014001026741961077
12,15,169,197843,103,0.0005206148309518154
12,16,192,149604,0,0.0
12,17,193,149604,0,0.0
12,18,216,95912,105,0.001094753524063725
12,19,217,95912,105,0.001094753524063725
12,20,240,55453,1087,0.01960218563468162
